topk_requested,topk,topk_clamped,batch_size,s_q,s_kv,num_tiles,num_waves,wave_fill,k_tiles,d_qk,d_v,h_q,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_us_min,latency_us_max,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
2048,2048,False,64,64,65536,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.67046666666717,33.60330000000031,33.68216666666644,0.00234230987787894,1084.2505504131057,5.013911380299575,21.102592,0.37326107746255305,memory
2048,2048,False,64,64,131072,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.6554333333332,33.638333333333364,33.731166666666496,0.002758346101614024,1084.734867455779,5.016151012763684,21.102592,0.37298112340453937,memory
2048,2048,False,74,74,4096,74,1,1.0,16,576,512,128,42211475456,195198976,34.08213333333343,34.02456666666636,34.08956666666689,0.0019071576114326348,1238.5221031547285,5.727310966449658,24.399872,0.2840861291937928,memory
2048,2048,False,74,74,8192,74,1,1.0,16,576,512,128,42211475456,195198976,34.341266666666705,34.29863333333365,34.34876666666707,0.0014598568486140903,1229.1764268838838,5.684093656028989,24.399872,0.28948829299637635,memory
2048,2048,False,74,74,16384,74,1,1.0,16,576,512,128,42211475456,195198976,34.13866666666659,34.1246666666667,34.227266666666715,0.003005389782847072,1236.471121387286,5.717826589595389,24.399872,0.2852716763005764,memory
2048,2048,False,74,74,32768,74,1,1.0,16,576,512,128,42211475456,195198976,34.44480000000043,34.42353333333328,34.51086666666686,0.0025354576985082786,1225.4817985878706,5.667008547008477,24.399872,0.2916239316239404,memory
2048,2048,False,74,74,65536,74,1,1.0,16,576,512,128,42211475456,195198976,34.4533333333327,34.420399999999916,34.472466666666804,0.0015112229102230098,1225.178273684233,5.665604953560476,24.399872,0.29179938080494056,memory
2048,2048,False,74,74,131072,74,1,1.0,16,576,512,128,42211475456,195198976,34.65183333333342,34.646266666666655,34.66756666666636,0.0006146860916365514,1218.1599469773093,5.6331500305419,24.399872,0.2958562461822625,memory
2048,2048,False,128,128,4096,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,65.71949999999984,65.6927666666663,65.79413333333332,0.0015424138447038996,1111.0012101735433,5.137614741439007,42.205184,0.3577981573201241,memory
2048,2048,False,128,128,8192,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,66.42556666666636,66.42139999999986,66.43523333333295,0.00020825314750423765,1099.19188794275,5.083004766738935,42.205184,0.36462440415763303,memory
2048,2048,False,128,128,16384,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,66.00650000000043,65.79536666666701,66.08756666666675,0.004426836750922172,1106.1705139948267,5.115276101596021,42.205184,0.36059048730049725,memory
2048,2048,False,128,128,32768,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,65.95743333333364,65.84436666666728,66.0886000000005,0.0037028932296214842,1106.9934098709066,5.1190814277692995,42.205184,0.3601148215288375,memory
2048,2048,False,128,128,65536,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,65.87303333333314,65.849633333333,65.97766666666658,0.0019436380390394539,1108.4117481356845,5.1256402645291015,42.205184,0.3592949669338622,memory
2048,2048,False,128,128,131072,128,2,0.8648648648648649,16,576,512,128,73014444032,337641472,66.59733333333367,66.5567999999997,66.60693333333359,0.0007527828942183408,1096.3568716264863,5.069894770561359,42.205184,0.3662631536798301,memory
2048,2048,False,148,148,4096,148,2,1.0,16,576,512,128,84422950912,390397952,67.13713333333342,66.99296666666656,67.15413333333412,0.0024005592533623494,1257.47029580252,5.814933295732012,48.799744,0.27313333803349854,memory
2048,2048,False,148,148,8192,148,2,1.0,16,576,512,128,84422950912,390397952,67.27576666666702,67.23623333333313,67.367433333333,0.0019501821606868871,1254.8790611379068,5.802950621645307,48.799744,0.27463117229433665,memory
2048,2048,False,148,148,16384,148,2,1.0,16,576,512,128,84422950912,390397952,67.35256666666669,67.31420000000018,67.36163333333356,0.0007042542798422844,1253.4481622625613,5.7963337007201385,48.799744,0.2754582874099826,memory
2048,2048,False,148,148,32768,148,2,1.0,16,576,512,128,84422950912,390397952,67.34513333333337,67.30139999999957,67.40056666666675,0.001472514222762577,1253.5865137297715,5.79697348088503,48.799744,0.27537831488937115,memory
2048,2048,False,148,148,65536,148,2,1.0,16,576,512,128,84422950912,390397952,67.60649999999998,67.50926666666662,67.63613333333362,0.0018765454012114086,1248.7401494235025,5.774562386752755,48.799744,0.27817970165590566,memory
2048,2048,False,148,148,131072,148,2,1.0,16,576,512,128,84422950912,390397952,67.58076666666668,67.51146666666669,67.61826666666714,0.0015803312875574216,1249.2156433857165,5.776761218551826,48.799744,0.27790484768102175,memory
2048,2048,False,256,256,4096,256,4,0.8648648648648649,16,576,512,128,146028888064,675282944,127.87633333333332,127.75036666666645,127.880566666667,0.0010181712018685475,1141.9539820816467,5.280749974584821,84.410368,0.3399062531768973,memory
