batch_size,s_q,s_kv,topk,num_tiles,num_waves,wave_fill,k_tiles,d_qk,d_v,h_q,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_us_min,latency_us_max,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
148,148,131072,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.93500000000003,41.88070000000014,42.15373333333371,0.0065108699972234625,1006.5929523309876,5.146298986526764,26.976256,0.3567126266841545,memory
256,256,1024,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.55693333333377,78.51530000000024,78.5610666666669,0.0005825923279421777,929.4462109688549,4.75187918061972,46.661632000000004,0.406015102422535,memory
256,256,4096,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.87683333333375,78.73816666666607,78.89380000000034,0.0019731184272645777,925.6766650790953,4.732607030792709,46.661632000000004,0.4084241211509113,memory
256,256,8192,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.63353333333363,78.62716666666617,78.66453333333334,0.0004752001478653555,928.5408010662082,4.7472501892746175,46.661632000000004,0.40659372634067287,memory
256,256,16384,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.87586666666715,78.81829999999988,78.90240000000027,0.0010662323414562878,925.6880097503363,4.732665031467136,46.661632000000004,0.40841687106660785,memory
256,256,32768,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.58246666666702,78.50460000000022,78.6101333333333,0.0013429628492158518,929.1442115416713,4.750335180790944,46.661632000000004,0.406208102401132,memory
256,256,65536,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.26250000000024,78.22526666666647,78.3371333333328,0.001429377628702493,932.942904098384,4.769756345631674,46.661632000000004,0.4037804567960408,memory
256,256,131072,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.57923333333353,78.56229999999981,78.5985333333332,0.0004611057119848759,929.1824434360708,4.750530644865021,46.661632000000004,0.4061836693918722,memory
296,296,1024,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.06613333333334,80.03110000000032,80.16519999999933,0.0016748654445533332,1054.4152364711838,5.390794809624044,53.952512,0.32615064879699446,memory
296,296,4096,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.07686666666648,80.02556666666631,80.1451333333331,0.0014931486663247776,1054.273904889721,5.39007223892378,53.952512,0.32624097013452746,memory
296,296,8192,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.9408666666663,80.83633333333312,81.01863333333282,0.0022522615275477153,1043.020100830817,5.332536131315644,53.952512,0.3334329835855446,memory
296,296,16384,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.6144666666661,80.54613333333303,80.75319999999952,0.00256860431171368,1047.2431860286522,5.354127042540788,53.952512,0.3307341196824014,memory
296,296,32768,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.38946666666689,80.29973333333298,80.43420000000016,0.0016726901202708728,1050.174287908363,5.369112570303558,53.952512,0.32886092871205536,memory
296,296,65536,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.66893333333317,80.6069666666664,80.66896666666705,0.0007685734450517639,1046.5361003740413,5.3505120021421,53.952512,0.3311859997322375,memory
296,296,131072,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.771233333333,80.73063333333329,80.83083333333352,0.0012405406710421284,1045.2106205138257,5.343735364529555,53.952512,0.3320330794338056,memory
