Format,ABLayout,CTAGroup,M,N,K,MedianCycles
E4M3,TS,2,128,80,32,166
E4M3,TS,2,128,96,32,170
E4M3,TS,2,128,112,32,174
E4M3,TS,2,128,128,32,178
E4M3,TS,2,128,256,32,210
E4M3,TS,2,256,64,32,170
E4M3,TS,2,256,80,32,178
E4M3,TS,2,256,96,32,186
E4M3,TS,2,256,112,32,194
E4M3,TS,2,256,128,32,202
E4M3,TS,2,256,256,32,266
S8,SS,1,64,64,32,151
S8,SS,1,64,80,32,159
S8,SS,1,64,96,32,167
S8,SS,1,64,112,32,175
S8,SS,1,64,128,32,183
S8,SS,1,64,256,32,247
S8,SS,1,128,64,32,167
S8,SS,1,128,80,32,175
S8,SS,1,128,96,32,183
S8,SS,1,128,112,32,191
S8,SS,1,128,128,32,199
S8,SS,1,128,256,32,263
S8,SS,2,128,64,32,170
S8,SS,2,128,80,32,176
S8,SS,2,128,96,32,182
S8,SS,2,128,112,32,188
S8,SS,2,128,128,32,194
S8,SS,2,128,256,32,226
S8,SS,2,256,64,32,199
S8,SS,2,256,80,32,207
S8,SS,2,256,96,32,215
S8,SS,2,256,112,32,223
S8,SS,2,256,128,32,231
S8,SS,2,256,256,32,295
S8,TS,1,64,64,32,135
S8,TS,1,64,80,32,143
S8,TS,1,64,96,32,151
S8,TS,1,64,112,32,159
S8,TS,1,64,128,32,167
S8,TS,1,64,256,32,231
S8,TS,1,128,64,32,135
S8,TS,1,128,80,32,143
S8,TS,1,128,96,32,151
S8,TS,1,128,112,32,159
S8,TS,1,128,128,32,167
S8,TS,1,128,256,32,231
S8,TS,2,128,64,32,159
S8,TS,2,128,80,32,163
S8,TS,2,128,96,32,167
S8,TS,2,128,112,32,171
S8,TS,2,128,128,32,175
S8,TS,2,128,256,32,207
S8,TS,2,256,64,32,167
S8,TS,2,256,80,32,175
S8,TS,2,256,96,32,183
S8,TS,2,256,112,32,191
S8,TS,2,256,128,32,199
S8,TS,2,256,256,32,263
F4,SS,1,64,64,64,152
F4,SS,1,64,80,64,160
F4,SS,1,64,96,64,168
F4,SS,1,64,112,64,176
F4,SS,1,64,128,64,184
F4,SS,1,64,256,64,248
F4,SS,1,128,64,64,168
F4,SS,1,128,80,64,176
F4,SS,1,128,96,64,184
F4,SS,1,128,112,64,192
F4,SS,1,128,128,64,200
F4,SS,1,128,256,64,264
F4,SS,2,128,64,64,173
F4,SS,2,128,80,64,179
F4,SS,2,128,96,64,185
F4,SS,2,128,112,64,191
F4,SS,2,128,128,64,197
F4,SS,2,128,256,64,229
F4,SS,2,256,64,64,202
F4,SS,2,256,80,64,210
F4,SS,2,256,96,64,218
F4,SS,2,256,112,64,226
F4,SS,2,256,128,64,234
F4,SS,2,256,256,64,298
F4,TS,1,64,64,64,136
F4,TS,1,64,80,64,144
F4,TS,1,64,96,64,152
F4,TS,1,64,112,64,160
F4,TS,1,64,128,64,168
F4,TS,1,64,256,64,232
F4,TS,1,128,64,64,136
F4,TS,1,128,80,64,144
F4,TS,1,128,96,64,152
F4,TS,1,128,112,64,160
F4,TS,1,128,128,64,168
F4,TS,1,128,256,64,232
F4,TS,2,128,64,64,162
F4,TS,2,128,80,64,166
F4,TS,2,128,96,64,170
F4,TS,2,128,112,64,174
F4,TS,2,128,128,64,178
F4,TS,2,128,256,64,210
F4,TS,2,256,64,64,170
F4,TS,2,256,80,64,178
F4,TS,2,256,96,64,186
F4,TS,2,256,112,64,194
F4,TS,2,256,128,64,202
F4,TS,2,256,256,64,266
MXF8,SS,1,128,64,32,169
MXF8,SS,1,128,80,32,177
MXF8,SS,1,128,96,32,185
MXF8,SS,1,128,112,32,193
MXF8,SS,1,128,128,32,201
MXF8,SS,1,128,256,32,265
MXF8,SS,2,128,64,32,176
MXF8,SS,2,128,80,32,182
MXF8,SS,2,128,96,32,188
MXF8,SS,2,128,112,32,194
MXF8,SS,2,128,128,32,200
MXF8,SS,2,128,256,32,232
MXF8,SS,2,256,64,32,205
MXF8,SS,2,256,80,32,213
MXF8,SS,2,256,96,32,221
MXF8,SS,2,256,112,32,229
MXF8,SS,2,256,128,32,237
MXF8,SS,2,256,256,32,301
MXF8,TS,1,128,64,32,139
MXF8,TS,1,128,80,32,147
MXF8,TS,1,128,96,32,155
MXF8,TS,1,128,112,32,163
MXF8,TS,1,128,128,32,171
MXF8,TS,1,128,256,32,237
MXF8,TS,2,128,64,32,165
MXF8,TS,2,128,80,32,169
MXF8,TS,2,128,96,32,173
MXF8,TS,2,128,112,32,177
MXF8,TS,2,128,128,32,181
MXF8,TS,2,128,256,32,213
MXF8,TS,2,256,64,32,173
MXF8,TS,2,256,80,32,181
MXF8,TS,2,256,96,32,189
MXF8,TS,2,256,112,32,197
MXF8,TS,2,256,128,32,205
MXF8,TS,2,256,256,32,271
MXF4,SS,1,128,64,64,169
MXF4,SS,1,128,80,64,177
MXF4,SS,1,128,96,64,185
MXF4,SS,1,128,112,64,193
MXF4,SS,1,128,128,64,201
MXF4,SS,1,128,256,64,265
MXF4,SS,2,128,64,64,176
MXF4,SS,2,128,80,64,182
MXF4,SS,2,128,96,64,188
MXF4,SS,2,128,112,64,194
MXF4,SS,2,128,128,64,200
MXF4,SS,2,128,256,64,232
MXF4,SS,2,256,64,64,205
MXF4,SS,2,256,80,64,213
MXF4,SS,2,256,96,64,221
MXF4,SS,2,256,112,64,229
MXF4,SS,2,256,128,64,237
MXF4,SS,2,256,256,64,301
MXF4,TS,1,128,64,64,139
MXF4,TS,1,128,80,64,147
MXF4,TS,1,128,96,64,155
MXF4,TS,1,128,112,64,163
MXF4,TS,1,128,128,64,171
MXF4,TS,1,128,256,64,237
MXF4,TS,2,128,64,64,165
MXF4,TS,2,128,80,64,169
MXF4,TS,2,128,96,64,173
MXF4,TS,2,128,112,64,177
MXF4,TS,2,128,128,64,181
MXF4,TS,2,128,256,64,213
MXF4,TS,2,256,64,64,173
MXF4,TS,2,256,80,64,181
MXF4,TS,2,256,96,64,189
MXF4,TS,2,256,112,64,197
MXF4,TS,2,256,128,64,205
MXF4,TS,2,256,256,64,271
